Generation,Month,MonthPart,SeasonActivity
1,March,1,Spring Migration
1,March,2,Spring Migration
1,April,1,Spring Migration
1,April,2,Spring Migration
1,May,1,Spring Migration
2,May,2,Spring Migration
2,June,1,Spring Migration
2,June,2,Summer
3,July,1,Summer
3,July,2,Summer
3,August,1,Summer
4,August,2,Fall Migration
4,September,1,Fall Migration
4,September,2,Fall Migration
4,October,1,Fall Migration
4,October,2,Fall Migration
4,November,1,Wintering in Mexico
4,November,2,Wintering in Mexico
4,December,1,Wintering in Mexico
4,December,2,Wintering in Mexico
4,January,1,Wintering in Mexico
4,January,2,Wintering in Mexico
4,February,1,Wintering in Mexico
4,February,2,Wintering in Mexico